Frame,So_Xe,FPS
1,0,0.62
2,0,6.54
3,0,11.85
4,0,16.17
5,0,19.7
6,0,21.85
7,0,22.01
8,1,23.13
9,2,23.04
10,4,24.09
11,4,24.48
12,4,25.31
13,4,25.78
14,4,25.93
15,4,26.45
16,4,26.62
17,4,26.8
18,4,26.85
19,4,27.14
20,4,27.12
21,4,27.31
22,4,27.14
23,5,26.97
24,5,26.71
25,5,26.98
26,5,26.9
27,5,27.23
28,5,26.46
29,5,26.48
30,5,26.36
31,5,26.86
32,5,26.86
33,5,25.9
34,5,26.25
35,5,26.32
36,5,26.5
37,5,26.51
38,4,26.66
39,4,26.61
40,4,26.83
41,4,26.78
42,4,26.9
43,4,26.61
44,4,26.74
45,4,26.72
46,5,26.92
47,5,26.45
48,6,26.7
49,6,26.28
50,6,26.58
51,6,26.26
52,6,26.56
53,6,26.32
54,6,26.32
55,6,25.16
56,6,25.33
57,6,24.46
58,6,25.17
59,6,25.14
60,6,25.67
61,6,25.71
62,6,26.24
63,6,25.96
64,7,25.35
65,6,25.08
66,6,25.59
67,7,25.43
68,7,25.93
69,7,25.85
70,7,26.17
71,7,26.1
72,7,26.58
73,7,26.33
74,7,26.54
75,7,26.16
76,7,26.47
77,7,26.13
78,8,26.5
79,8,26.09
80,8,26.32
81,8,26.08
82,8,25.83
83,8,25.1
84,8,24.27
85,8,23.79
86,8,24.09
87,8,24.02
88,8,23.97
89,8,23.85
90,8,23.95
91,8,24.21
92,8,25.13
93,8,25.12
94,9,25.55
95,9,25.77
96,9,26.12
97,9,26.11
98,8,26.2
99,8,26.16
100,9,26.55
101,9,26.5
102,9,26.12
103,9,25.75
104,9,26.07
105,9,26.2
106,9,25.37
107,9,24.56
108,8,24.7
109,8,24.87
110,8,24.67
111,7,23.89
112,7,24.28
113,7,24.67
114,6,25.27
115,6,25.58
116,6,25.76
117,6,25.94
118,5,26.39
119,4,23.9
120,4,25.65
121,4,27.07
122,4,28.37
123,4,29.4
124,4,30.21
125,4,30.48
126,5,29.85
127,6,28.23
128,8,28.32
129,8,28.22
130,8,27.85
131,8,27.96
132,7,27.54
133,7,27.51
134,7,27.22
135,7,27.31
136,7,27.18
137,7,27.13
138,7,27.06
139,7,27.19
140,7,26.89
141,8,27.19
142,8,27.06
143,8,27.25
144,8,27.26
145,8,27.1
146,8,26.99
147,8,27.2
148,5,27.07
149,5,27.23
150,5,27.18
151,5,27.18
152,5,27.41
153,5,27.44
154,5,27.56
155,5,27.49
156,4,27.42
157,4,27.14
158,4,27.21
159,4,27.09
160,4,27.09
161,4,26.85
162,4,25.78
163,4,25.82
164,5,26.21
165,5,26.06
166,6,26.25
167,6,25.57
168,6,25.83
169,6,25.72
170,6,25.84
171,6,25.18
172,6,23.07
173,6,22.69
174,6,23.49
175,6,23.59
176,6,22.85
177,6,22.06
178,6,23.18
179,6,23.67
180,6,24.47
181,6,24.39
182,7,24.89
183,6,25.01
184,6,25.33
