Frame,So_Xe,FPS
1,7,0.2
2,7,4.19
3,7,7.63
4,7,10.54
5,7,12.74
6,7,15.08
7,7,16.32
8,7,17.85
9,7,18.95
10,7,19.93
11,7,21.01
12,7,21.58
13,7,21.93
14,7,22.65
15,7,23.22
16,7,23.67
17,7,24.08
18,7,23.42
19,7,22.0
20,7,20.04
21,7,20.86
22,7,21.53
23,7,21.79
24,7,21.98
25,7,21.69
26,7,22.25
27,7,22.18
28,7,22.3
29,7,22.27
30,7,22.66
31,7,22.92
32,7,22.82
33,7,23.03
34,7,23.23
35,7,23.12
36,7,22.59
37,7,22.23
38,7,21.9
39,7,21.99
40,7,22.63
41,7,22.78
42,7,22.97
43,9,23.12
44,9,23.17
45,10,23.63
46,10,23.99
47,10,24.06
48,12,24.3
49,12,24.27
50,12,24.4
51,12,24.34
52,13,24.4
53,13,24.36
54,13,24.59
55,13,24.35
56,13,24.41
57,13,24.3
58,13,24.48
59,13,24.25
60,13,24.39
61,13,24.54
62,13,24.66
63,13,24.69
64,15,24.44
65,15,24.42
66,15,24.6
67,15,24.41
68,17,24.5
69,17,24.22
70,18,24.27
71,15,24.34
72,15,24.1
73,16,24.32
74,16,24.42
75,16,24.14
76,17,24.26
77,17,24.27
78,17,24.26
79,17,24.1
80,16,24.1
81,16,23.79
82,17,24.02
83,17,24.05
84,17,24.13
85,17,24.1
86,17,24.21
87,17,23.21
88,18,23.43
89,17,23.69
90,17,23.6
91,17,23.46
92,19,23.76
93,18,23.58
94,18,23.71
95,18,23.86
96,16,23.8
97,16,23.83
98,15,24.05
99,15,23.86
100,16,23.88
101,16,23.99
102,16,23.82
103,18,23.85
104,17,22.2
105,17,21.17
106,17,21.23
107,17,20.43
108,14,20.19
109,14,20.76
110,14,21.51
111,14,20.38
112,14,19.84
113,14,19.43
114,14,19.22
115,15,19.94
116,15,20.52
117,15,21.32
118,15,21.74
119,15,21.99
120,15,22.35
121,15,22.62
122,15,22.69
123,15,22.56
124,16,22.21
125,16,22.41
126,16,22.7
127,16,22.64
128,17,22.93
129,18,22.9
130,18,23.26
131,18,23.69
132,18,23.83
133,18,24.14
134,17,24.36
135,17,24.37
136,17,24.56
137,18,24.45
138,18,24.46
139,18,24.63
140,17,24.71
141,15,24.51
142,17,24.51
143,17,24.53
144,17,24.29
145,17,24.37
146,17,24.3
147,17,24.16
148,18,24.37
149,18,24.11
150,18,24.0
151,18,24.07
152,17,24.23
153,18,24.12
154,19,24.25
155,19,24.34
156,20,24.15
157,20,24.01
158,19,23.98
159,20,23.65
160,21,23.74
161,21,23.72
162,21,23.83
163,22,23.95
164,22,24.19
165,20,24.13
166,21,24.24
167,22,24.3
168,24,23.91
169,25,24.12
170,24,23.88
171,26,24.11
172,26,24.23
173,27,23.84
174,27,24.06
175,27,24.24
176,27,24.38
177,27,23.89
178,29,23.73
179,28,23.83
180,29,23.7
181,29,23.75
182,29,23.94
183,28,23.62
184,26,23.53
185,27,23.16
186,28,23.27
187,28,23.47
188,25,23.66
189,27,23.35
190,27,23.41
191,26,23.53
192,26,23.36
193,26,23.36
194,26,23.58
195,26,23.21
196,27,23.01
197,26,22.98
198,28,23.27
199,27,23.51
200,27,23.73
201,26,23.38
202,26,23.08
203,26,22.91
204,27,22.9
205,27,23.34
206,26,23.69
207,27,23.49
208,29,23.42
209,29,23.4
210,30,23.63
211,30,23.84
212,29,24.0
213,29,24.01
214,27,23.74
215,27,23.45
216,27,23.76
217,27,23.65
218,26,23.64
219,26,23.3
220,28,23.44
221,28,23.47
222,28,23.63
223,27,23.57
224,24,23.54
225,24,23.31
226,24,23.63
227,24,23.42
228,24,23.55
229,24,23.77
230,24,24.01
231,25,23.79
232,25,23.99
233,25,23.53
234,26,23.51
235,26,23.66
236,24,23.89
237,25,23.7
238,26,23.54
239,26,23.38
240,27,23.62
241,27,23.93
242,27,24.09
243,25,23.82
244,25,23.91
245,24,23.5
246,25,23.48
247,25,23.6
248,24,23.9
249,24,23.48
250,23,23.18
251,23,22.95
252,22,23.39
253,22,23.6
254,22,23.76
255,22,23.38
256,22,22.72
257,23,22.83
258,26,23.08
259,26,23.13
260,25,22.81
261,26,23.24
262,25,23.63
263,26,23.37
264,27,23.3
265,27,23.64
266,25,24.01
267,25,23.56
268,26,23.43
269,27,23.22
270,27,23.42
271,27,23.66
272,26,23.89
273,26,23.55
274,26,23.41
275,28,23.29
276,28,23.56
277,28,23.68
278,26,23.88
279,25,23.5
280,24,23.41
281,24,23.61
282,24,23.3
283,25,23.27
284,25,23.51
285,25,23.38
286,25,22.92
287,26,22.75
288,26,23.07
289,23,23.3
290,23,23.47
291,24,23.08
292,23,23.44
293,23,23.39
294,24,23.21
295,24,23.26
296,23,23.44
297,23,23.15
298,22,23.34
299,22,23.22
300,22,22.9
301,22,23.09
302,21,23.32
303,21,23.2
304,21,22.75
305,22,22.86
306,22,22.19
307,22,20.97
308,24,19.45
309,24,18.49
310,24,17.64
311,24,16.14
312,24,14.89
313,24,14.57
314,24,14.85
315,24,13.92
316,24,13.55
317,23,13.45
318,23,13.55
319,24,13.87
320,22,14.31
321,22,14.91
322,22,16.03
323,22,16.59
324,22,17.06
325,22,18.41
326,21,19.44
327,21,20.16
328,23,20.92
329,22,21.13
330,22,21.37
331,23,21.77
332,23,22.15
333,20,21.94
334,23,22.13
335,24,22.26
336,26,22.36
337,25,22.51
338,26,22.06
339,29,22.39
340,29,22.34
341,29,21.72
342,29,21.78
343,30,22.23
344,30,22.05
