Frame,So_Xe,FPS
1,16,0.65
2,17,4.06
3,18,7.4
4,18,10.24
5,18,12.45
6,20,14.66
7,21,16.13
8,21,17.49
9,21,18.48
10,22,19.32
11,24,20.18
12,24,20.66
13,26,21.06
14,26,21.33
15,26,22.12
16,26,21.9
17,26,22.65
18,26,21.83
19,26,21.65
20,26,21.64
21,26,21.24
22,34,21.38
23,34,22.01
24,42,22.22
25,43,22.18
26,44,22.23
27,45,22.23
28,45,21.79
29,45,21.85
30,46,21.67
31,43,21.58
32,45,21.26
33,45,21.03
34,45,20.99
35,48,20.57
36,50,20.36
37,50,20.22
38,48,20.63
39,47,20.51
40,50,19.96
41,48,20.07
42,48,20.34
43,51,21.15
44,51,21.22
45,52,21.23
46,52,21.36
47,52,21.12
48,53,21.21
49,55,21.45
50,47,21.68
51,48,21.89
52,44,22.09
53,47,21.71
54,43,21.5
55,42,22.09
56,42,22.47
57,44,22.17
58,48,21.86
59,48,21.81
60,48,21.74
61,48,22.03
62,50,21.93
63,48,22.23
64,49,22.47
65,48,22.34
66,46,22.16
67,49,21.74
68,47,21.57
69,47,21.28
70,48,21.1
71,42,20.86
72,44,20.81
73,42,20.32
74,42,20.13
75,42,20.2
76,44,19.94
77,43,19.35
78,44,19.44
79,44,19.5
80,43,19.63
81,42,19.49
82,42,19.3
83,41,19.44
84,42,20.39
85,41,20.83
86,40,20.97
87,40,21.27
88,37,21.2
89,41,17.93
90,39,15.03
91,39,16.39
92,40,17.27
93,39,18.13
94,39,18.67
95,36,18.77
96,37,19.24
97,37,19.75
98,37,20.06
99,37,19.66
100,36,20.18
101,36,20.41
102,36,20.3
103,37,20.22
104,37,21.08
105,40,21.45
106,40,21.59
