Frame,So_Xe,FPS
1,4,0.11
2,5,3.03
3,5,4.92
4,5,6.74
5,5,8.34
6,5,9.57
7,5,10.58
8,5,11.6
9,5,12.46
10,5,12.97
11,5,13.36
12,5,14.05
13,5,14.46
14,5,14.87
15,5,15.06
16,5,15.16
17,5,15.0
18,5,14.68
19,5,14.79
20,5,14.64
21,5,14.97
22,5,15.19
23,5,15.07
24,5,15.08
25,5,15.19
26,5,15.27
27,5,15.16
28,5,15.27
29,5,15.71
30,5,15.64
31,3,15.88
32,3,15.66
33,3,15.79
34,3,16.12
35,3,16.23
36,3,15.93
37,3,16.43
38,3,16.5
39,3,16.58
40,3,16.3
41,3,16.52
42,3,16.68
43,3,16.6
44,3,16.41
45,3,16.37
46,4,16.62
47,4,16.33
48,4,16.5
49,4,16.33
50,4,16.34
51,4,16.37
52,4,16.16
53,4,15.86
54,4,15.87
55,4,16.28
56,4,16.75
57,4,16.45
58,4,16.35
59,4,16.55
60,4,16.36
61,4,16.46
62,4,15.87
63,4,16.29
64,4,16.59
65,4,16.26
66,4,15.93
67,4,15.74
68,4,16.07
69,4,16.0
70,4,16.14
71,4,16.17
72,4,16.72
73,4,16.8
74,4,16.48
75,4,16.45
76,4,16.43
77,3,16.39
78,3,16.68
79,3,16.6
80,3,16.87
81,3,17.15
82,3,17.52
83,3,17.88
84,3,17.43
85,3,17.39
86,3,17.78
87,3,17.18
88,3,16.91
89,3,16.57
90,3,16.35
91,3,16.23
92,3,16.12
93,3,16.22
94,3,16.67
95,3,16.99
96,3,17.32
97,3,17.63
98,3,17.82
99,3,17.88
100,3,17.5
101,3,17.38
102,3,17.7
103,3,17.57
104,3,17.26
105,3,16.69
106,3,16.63
107,3,16.85
108,3,17.04
109,3,17.28
110,3,17.48
111,3,17.6
112,3,17.43
113,3,17.08
114,3,16.96
115,3,16.88
116,3,16.9
117,3,17.05
118,3,16.9
119,3,17.19
120,3,17.07
121,3,17.48
122,3,17.19
123,3,17.31
124,3,17.46
125,3,17.21
126,3,16.91
127,3,17.07
128,3,17.03
129,3,16.83
130,3,16.73
131,3,16.53
132,3,16.61
133,3,16.62
134,3,16.89
135,3,16.98
136,3,16.97
137,3,17.23
138,3,17.27
139,3,17.06
140,3,16.75
141,3,16.55
142,3,16.79
143,3,17.08
144,3,17.52
145,3,17.08
146,3,17.05
147,3,17.23
148,3,17.67
149,3,17.84
150,3,18.04
151,3,18.17
152,3,18.08
153,3,18.02
154,3,18.03
155,3,17.87
156,3,17.87
157,3,17.95
158,3,17.64
159,3,17.44
160,3,17.58
161,3,17.38
162,3,17.64
163,3,17.77
164,3,17.96
165,3,18.07
166,3,18.14
167,3,18.28
168,3,17.65
169,3,17.23
170,3,17.37
171,3,17.62
172,3,17.58
173,3,17.8
174,3,17.89
175,3,17.48
176,3,17.09
177,3,16.72
178,3,17.06
179,3,16.77
180,3,16.72
181,3,16.78
182,3,17.0
183,3,17.35
184,3,17.51
185,3,17.56
186,3,17.17
187,3,17.12
188,3,17.31
189,3,17.65
190,3,17.53
191,3,17.6
192,3,17.54
193,3,17.59
194,3,17.83
195,3,17.98
196,3,17.8
197,3,17.37
198,3,16.83
199,3,16.83
200,3,16.65
201,3,16.96
202,3,17.19
203,3,17.45
204,3,17.71
205,3,17.58
206,3,17.47
207,3,17.23
208,3,17.44
209,3,17.13
210,3,17.19
211,3,17.07
212,3,17.04
213,3,17.2
214,3,16.9
215,3,17.0
216,3,16.53
217,3,16.53
218,3,16.81
219,3,16.84
220,3,16.73
221,3,16.86
222,3,17.16
223,4,17.26
224,4,17.57
225,4,17.52
226,4,17.05
227,4,16.65
228,4,16.57
229,4,16.54
230,4,16.4
231,4,16.44
232,4,16.88
233,4,16.73
234,4,16.41
235,4,16.1
236,4,16.18
237,4,15.86
238,4,16.1
239,4,16.11
240,4,15.9
241,4,15.72
242,4,14.7
243,4,14.37
244,4,14.75
245,4,14.86
246,4,13.69
247,4,12.07
248,4,11.4
249,4,10.81
250,4,10.27
251,4,9.69
252,3,9.5
253,3,9.43
254,3,9.38
255,3,9.27
256,3,9.05
257,3,8.69
258,3,8.81
259,3,8.92
260,3,8.92
261,3,9.27
262,3,10.15
263,3,10.81
264,3,11.17
265,3,11.12
266,3,10.94
267,3,11.33
268,3,12.47
269,3,13.24
270,3,13.83
271,3,14.59
272,3,15.18
273,3,15.19
274,3,15.23
275,3,15.8
276,3,15.88
277,3,16.29
278,3,16.71
279,3,17.01
280,4,16.87
281,4,16.86
282,4,16.58
283,4,16.66
284,4,16.93
285,4,17.08
286,4,17.32
287,4,17.07
288,4,17.32
289,4,17.3
290,4,17.0
291,4,17.33
292,6,17.69
293,6,17.58
294,6,17.1
295,6,17.35
296,6,17.52
297,6,16.9
298,6,17.44
299,6,17.69
300,6,16.68
301,8,16.4
302,8,15.52
303,8,14.93
304,8,15.51
305,8,15.4
306,8,15.35
307,8,15.67
308,8,15.92
309,8,16.18
310,8,15.14
311,8,13.88
312,7,14.29
313,7,15.01
314,7,15.65
315,7,16.0
316,7,16.72
317,7,16.75
318,7,16.37
319,7,16.69
320,7,16.95
321,6,17.29
322,6,17.68
323,6,17.39
324,6,17.01
325,6,17.1
326,5,16.9
327,5,16.71
328,5,16.42
329,3,16.35
330,3,16.74
331,3,16.88
